序号,产品类别,产品名称,品牌,产品规格/型号,生产厂家,使用对象年龄,使用对象性别,使用时是否有成人看护,是否有成人对其进行安全教育,是否能够认识到产品存在危害,第一次使用该产品或类似产品,使用环境,使用方式,产品存在的一级危害因素,产品存在的二级危害因素,产品存在的三级危害因素,导致的伤害,伤害事件发生的时间,备注（事件概述）,事件链接
1,电子及信息技术产品,iPad,iphone,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,马女士是洛阳一家卫浴用具店的工作人员，她新买的不到一个月的ipad，放在吧台上时突然发生了爆炸。,
2,日用杂品,按摩椅,无,无,无,14～60岁,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,肢体卡伤,,一位女士在使用按摩椅时，头部和头发根部被夹在按摩椅机器当中。,
3,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,重庆刘先生向实况新闻-重庆时报记者爆料称，他的一位同事家里两岁多的儿子，因误食五颗巴克球导致肠穿孔，危及生命。,
4,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,云南一8岁男孩吞下10多颗巴克球导致胃穿孔 ,
5,家用电器及电器附件,壁挂炉,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,其他,其他,一氧化碳,中毒,,壁挂炉在正常使用过程中发生了爆炸，导致用户一氧化碳中毒,
6,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,潍坊市民在网上刚买了一个月的二手小冰箱突然自燃烧毁。,
7,家具及建筑装饰装修材料,玻璃窗,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,阳光房顶上的一块玻璃出现了一个大窟窿，碎玻璃落了一地。,
8,家具及建筑装饰装修材料,玻璃窗,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,上海一小区建筑玻璃外层发生爆裂。,
9,家具及建筑装饰装修材料,玻璃窗,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,"杭州钱江新城来福士广场T2塔楼51层的一处幕墙玻璃自爆，碎片从200多米高空坠落，砸中一辆路过的奔驰车，所幸车内司机没有受伤。",
10,家用电器及电器附件,插线板,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,烧伤,,华西医院烧伤外科病房收治了一名4岁大的女孩彤彤，因插线板短路引发了火灾，孩子双腿几乎被烧得焦黑。,
11,家用电器及电器附件,肠粉机,无,无,无,14～60岁,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,烧伤,,肠粉机在使用时突然从底部、四周喷火烧伤母子两人,
12,电子及信息技术产品,充电宝,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,舟山嵊泗一民宅卧室突发大火，损失惨重，而火灾竟是由放置屋内的充电宝自燃所致。,
13,电子及信息技术产品,充电宝,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,炸伤,,李先生躺在床上玩游戏，手机没电了就连上充电宝边充边玩。睡着后充电宝燃烧爆炸，李先生后脑被炸伤。,
14,日用杂品,电池（充电电池）,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,炸伤,,宜昌7岁男孩在家用电线连充电电池亮灯泡，没想到充电电池及灯泡突然爆炸，男孩不仅面部、胸部被炸伤，双手10根手指更被炸的只剩下残缺不全的5根。,
15,日用杂品,电池（纽扣电池）,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,烟台一八月龄婴儿误吞纽扣电池53小时。,
16,电子及信息技术产品,电池（手机锂电池）,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,经查，该火灾是由店铺内工作人员修理一块锂电池引起，店内的监控视频还原了事故过程。当时，工作人员下班后，将修理好的一块电池放于插线板上充电，然后就走人了。由于无人看管，电池在充电时突然爆燃引燃了周边物品，最终导致火灾的发生。,
17,文教体育用品,电动平衡车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,摔伤,,天津市民骑着平衡车正常出门，在正常行驶十几分钟的时候，小米平衡车突然停止，由于巨大的冲击，身体上有四处明显擦伤和撞击的痕迹。而小米平衡车不知什么原因，整个就如系统卡死一样，开关机键已经不管用，通过开关机和APP尝试了多次，APP一直无法通过蓝牙连接上平衡车。,
18,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,电动车锂电池过夜充电着火。两位伤者均为头面部和四肢烧伤并有吸入性损伤，目前生命体征平稳。,
19,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,杭州洁莲社区一栋居民楼的六楼起火，起火可能是因为电瓶车在家里过夜充电引起的。,
20,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,摔伤,,安装在电动自行车上的儿童座椅松动，导致她孩子被甩出受了伤。,
21,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,省城巢湖南路元一柏庄小区某栋一楼住户家因电动车充电突发火灾,
22,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,财产损失,,电瓶车正在店铺内充电，可能是短路引发的火灾。,
23,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,在济南八里桥新居，一辆停放在楼道里的电动车莫名起火，部分楼道被熏黑，所幸无人受伤。,
24,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,"萧山某小区地下室冒出滚滚浓烟，而引发火灾的罪魁祸首，竟是一辆正在充电的电瓶车充电器。",
25,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,一辆停在武汉大学计算机学院门口的电动车突然自燃，十多分钟就烧成空架。,
26,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,嘉定区丰庄路近丰庄北路上，一辆电瓶车发生了自燃。热心市民纷纷提供灭火器灭火，未造成蔓延。,
27,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,市区共发生7起火灾警情，全部为室外电动车起火。其中金水区3起，惠济区、二七区、管城区、中原区各1起，共烧毁电动车20辆。,
28,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,海口市秀英区向荣路一小区架空层停放的电动车突然起火，12辆电动车被烧毁，7辆电动车受损，无人员伤亡。,
29,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,大兴西路发生一起火灾，5人被困，幸亏邻居们砸破窗户玻璃，拆除安全护栏，5人才得以脱险。参与救人的赵先生事后曾进入起火的住宅，他怀疑火灾原因又是因电动车充电而起。,
30,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,汇景新城小区有一辆电瓶车起火。中队官兵到达现场时电瓶车正在猛烈燃烧。,
31,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,一段南京地铁林场站高架下浓烟滚滚的视频在网上流传，该事件为车站外电动车自燃引发的火情。,
32,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,电动车充电引发3家店铺火灾。,
33,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,郑州市高新区一小区的车棚发生火灾，车棚内的十余辆电动车被烧得只剩铁架子。物业和业主都怀疑是飞线充电引起的火灾。,
34,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,共享电动车冒烟自燃，并波及旁边的两辆车。,
35,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,死亡,,西安居民住宅因电动自行车起火，造成4人死亡,
36,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,死亡,,江苏苏州高新区浒墅关经济开发区一小区楼道发生电动车火灾。主要燃烧物质为电动车，造成4人死亡,
37,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,1月11日凌晨，衡阳市蒸湘区长湖乡长湖三队一居民楼发生火灾，一居民放在楼下过道充电的电动车起火，旁边两台电动车受损。,
38,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,漏电,财产损失,,因楼上居民飞线充电，位于郑州市农业路与南阳路交叉口附近的一所小区接连两天发生两起火灾，先后烧毁了12辆电动车和1辆自行车，就连楼外安装的天燃气表也被烧毁，一些居民家的空调室外机被烧坏。,
39,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,4月13日凌晨3点40分左右，浙江杭州拱墅区吴家墩东苑一处快递点突发火灾。最先起火的是一个正在充电的电瓶。这个电瓶就放置在快递点内的一个小推车上，充电线拉了四五米长，正在充电。,
40,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,死亡,,电动车充电可能发生短路，引燃了旁边的易燃物，由于火情发生于凌晨深夜，人们未能及时发现，导致整栋民宅失火。,
41,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,一辆停放在地下室充电的电动自行车起火，导致室内其他物品被烧毁。幸好邻居及时发现并报警，消防员赶到将火扑灭。,
42,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,在万达华府8 幢31层现场，一股浓浓的烧焦味道，地上有积水，在走廊的尽头、靠近3105 室边上的排烟通道，停放着一辆电瓶车，有明显被烧过的痕迹，从3105 室窗户内有一根黄色的电线通至该电瓶车处，并连接着电瓶车的充电器，充电器的另外一头连接在电瓶车上。,
43,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,电瓶车的电池放在床边充电，夜半时分，电池突然爆炸，致使韩先生全身重度烧伤。,
44,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,5月28日，江苏泰州某小区22楼的过道内一充电的电动车起火，火苗蹿至屋顶。,
45,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,2018年6月7日晚上，一居民从楼上飞线充电的电动车突然着火，火势顺着居民楼的外保温层迅速上蹿直到六层。所幸扑救及时，火灾中没有人员伤亡。,
46,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,死亡,,火灾起火点是小区楼下的电动车棚，怀疑是由充电时电线短路引发。,
47,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,2018年3月10日，一位今日头条的认证自媒体作者“王左中右”在今日头条微头条配图发文，声称自己在某品牌专卖店里购买才一个月的天能锂电池在充电过程中发生爆炸，自己与家人虽然死里逃生，但整个家都烧没了。,
48,家用电器及电器附件,电饭锅,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,网购电锅，第一次使用时因为电源线起火还烧着了桌布。,
49,家用电器及电器附件,电暖器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,中午的时候户主因其有要紧事离开房间忘记关房间内电暖气，房间内电暖气距离周围可燃物太近，从而导致发生火灾。,
50,家用电器及电器附件,电热水袋,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烫伤,,陈先生把电热水袋放在床头柜上充电，本想着早上取暖用一下，没想到却突然炸开了。电热水袋里面的褐色液体洒得到处都是，他脸部被烫伤。,
51,家用电器及电器附件,电热水器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,死亡,,杨家沁苑一男子在家用电热水器洗澡时触电身亡。,
52,家用电器及电器附件,电热水器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,死亡,,女子洗澡触电身亡，家属质疑出租屋的电线安装存在问题，导致地线带电，以致热水器导电致人死亡。,
53,家用电器及电器附件,电热水器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,死亡,,13岁的男童小杰（化名）和他父亲，疑因电热水器漏电，被发现双双倒在浴室内，没有了生命迹象。,
54,家用电器及电器附件,电热毯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,扬州市区运河北路原钢铁厂宿舍二楼，一住户外家中突发火灾，所幸未造成人员伤亡。起火原因疑似出门时未关闭电热毯电源。,
55,家用电器及电器附件,电视机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,老人在屋内看电视，突然电视机爆炸起火，随后火势蔓延。,
56,家用电器及电器附件,电视机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,财产损失,,新买的小米平板电视内屏裂了，裂缝处发散出横竖两条线，十分影响观看体验。,
57,家用电器及电器附件,电视机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,合川钱塘镇一小区居民楼五楼住户家中突发大火，火灾是电视机起火引发。,
58,家用电器及电器附件,电蚊拍,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,轻伤,,去年购买的电蚊拍，网拍变形导致短路，用户险些受伤。,
59,家用电器及电器附件,电压力锅,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,新买的电压力锅用预定模式煮饭，半夜自燃。,
60,家用电器及电器附件,电油汀,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,轻伤,,在网上买了一台油汀取暖器，就在前几天，油汀取暖器在使用过程中，突然间发生了爆炸。,
61,儿童用品,儿童床,无,无,无,37个月～96个月,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,死亡,,"6月12日，广安市前锋区观塘镇小宝贝幼儿园一名幼儿在幼儿园睡觉醒后，下床时不慎从床沿护栏空隙处滑落，其脖子被床沿护栏卡住，致其窒息死亡。",
62,儿童用品,儿童床,无,无,无,37个月～96个月,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,肢体卡伤,,新华区一名两周岁女童玩耍时，不小心腿部被卡在木床的床缝中。,
63,儿童用品,儿童游泳圈,无,无,无,37个月～96个月,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,溺水,,家住福建泉州的张女士带7个月大的儿子到母婴店游泳，当时使用的是坐式游泳圈，在无人看管下，宝宝在浮动的水中突然失去平衡，身体前倾跟着游泳圈翻到，他便头朝下栽入水中，所幸被店员发现。,
66,家用电器及电器附件,烘干机,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,财产损失,,天河区员村二横街昌乐园小区的一处出租屋发生火灾，因烘干机短路引发大火 。,
67,电子及信息技术产品,激光笔,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,灼伤,,宁波一小学生在学校附近买的激光笔，照到了眼睛，导致双眼几乎失明。,
68,电子及信息技术产品,激光笔,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,灼伤,,济南三年级小学生在和朋友玩耍时，被激光笔照射到眼睛，感觉到左眼看不见了。到医院检查后发现其眼睛黄斑区受损，左眼视力下降到了0.3。,
69,家具及建筑装饰装修材料,建筑围栏玻璃,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,死亡,,"广东轻工职业技术学院南海校区教学楼一块围栏玻璃怀疑因受热爆裂从三楼坠落,一名女学生被当场砸中身亡。",
70,家具及建筑装饰装修材料,景观灯,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,死亡,,福建省福清市金辉华府小区内，发生一起疑似3名儿童在小区景观水池内嬉戏触电身亡事件。,
71,家用电器及电器附件,净水器,美的,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,疑似美的牌净水器起火引发火灾。,
72,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,窑山花园东门保安室空调外机起火引燃超市。,
73,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,"下沙某小区15楼一住户家阳台外的空调外机就突然起火,冒出了阵阵黑烟。",
74,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,居民楼空调外机着火引发火灾,
75,家具及建筑装饰装修材料,凉席,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,致病微生物危害,真核细胞微生物危害,毛霉,皮炎,,周女士把去年晒过的凉席拿出来稍微抹布擦了下就直接使用，引发皮炎。,
76,家具及建筑装饰装修材料,淋浴房玻璃,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,割伤,,女子洗澡的时候，浴室的玻璃门碎了，身上多处划伤。,
77,家具及建筑装饰装修材料,淋浴房玻璃,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,割伤,,陈女士在公寓内洗澡时，淋浴房的一扇玻璃门突然炸裂，导致其胳膊和脚上多处受伤。,
78,家具及建筑装饰装修材料,淋浴房玻璃,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,割伤,,黄先生是在家洗澡时，淋浴房的钢化玻璃突然发生爆裂将其划伤,
79,家具及建筑装饰装修材料,淋浴房玻璃,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,割伤,,孩子刚进浴室洗澡后不久，浴室的钢化玻璃门突然发生自爆，飞溅的玻璃将女儿身上多处割伤，之后送医院缝了10余针。,
80,家具及建筑装饰装修材料,淋浴房玻璃,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,卫浴里的玻璃门突然爆裂。,
81,家用电器及电器附件,暖手宝,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烫伤,,"家住市区的吴女士夜里她用暖手宝取暖不小心把左小腿给烫伤了,形成一元硬币大小的三度创面。",
