序号,产品类别,产品名称,品牌,产品规格/型号,生产厂家,使用对象年龄,使用对象性别,使用时是否有成人看护,是否有成人对其进行安全教育,是否能够认识到产品存在危害,第一次使用该产品或类似产品,使用环境,使用方式,产品存在的一级危害因素,产品存在的二级危害因素,产品存在的三级危害因素,导致的伤害,伤害事件发生的时间,备注（事件概述）,事件链接
82,家用电器及电器附件,暖手宝,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,灼伤,,"合肥女孩小闫在省城南二环路的住处给暖手宝充电时,暖手宝突然发生爆炸,暖手宝内的水袋迸溅出滚烫的黑色液体,将她的腹部灼伤。",
83,文教体育用品,平衡车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,炸伤,,焦作的丁先生弟弟在京东众筹上购买的电动平衡车，在家中充电时突然发生爆炸。,
84,文教体育用品,平衡车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,"深圳市民杜女士家的一台价值千元的“阿尔郎”牌儿童平衡车,在充电时发生爆炸引火。",
86,家用电器及电器附件,取暖器,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,过热,烧伤,,奶奶有事离开忘关取暖器，取暖器引燃了棉被，导致宝宝的面部与手部严重烧伤。,
87,家用电器及电器附件,燃气热水器,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,过热,烧伤,,3月4日晚，街坊严小姐正在家中洗澡，突然热水器发生爆炸，被热水器里喷出来的火烧伤。,
88,家用电器及电器附件,燃气热水器,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,过热,烧伤,,海口一男子正准备要洗澡的时候，开着煤气，去开热水器时突然发生爆炸，导致男子伤势严重。,
89,家用电器及电器附件,燃气灶,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,过热,财产损失,,西安李女士家中使用的林内燃气灶在炖肉时冒火，李女士往上泼水后，燃气灶台面突然炸裂。,
90,家用电器及电器附件,燃气灶,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,过热,财产损失,,临沂李女士正在做饭，燃气灶的钢化玻璃面板突然发生爆炸。,
91,家用电器及电器附件,燃气灶,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,过热,财产损失,,张先生使用康佳燃气灶做了饭，饭后两小时，家人正在刷碗时，身旁的燃气灶钢化玻璃面板突然破裂，黑色钢化玻璃碎了一地。,
92,日用杂品,热水袋,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,过热,烫伤,,市民老唐在新桥镇一百货店购买热水袋，妻子在灌好开水看电视时突然爆炸，导致右腿大面积烫伤。,
93,日用杂品,热水瓶,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,机械危害,潜在能量危害,机械稳定性,烫伤,,剡先生买了一个新的热水瓶，没用几天，热水瓶内胆突然脱落，剡先生的母亲烫伤了脚。,
94,电子及信息技术产品,手机,华为,华为8Plus,华为,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烫伤,,郑州市民在迪信通买的中高端的华为8Plus手机，放在裤兜里自燃了。夏先生伸手去掏手机的时候，手上多处烫伤，大腿的皮肤被烧烂一大片。,
95,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,肢体断裂,,12岁男孩子在拔取了一部充满电的老人手机后，想拿起手机看时间，在操作过程中，突然发生了爆炸，导致亮亮的右手食指断裂、并且爆炸还伤及亮亮的右眼。,
96,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,炸伤,,2月2日，苹果在香港的一家零售店再次发生电池爆炸事故，导致两名工作人员被送往医院。,
97,电子及信息技术产品,手机,苹果,iPhone8,苹果,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,成都罗女士刚买没多久的iPhone8 发生自燃，厚厚的床垫竟被烧出一个 30 厘米的大窟窿，房间里都是浓烟。,
98,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,一名租客称，当天一早他随手把手机放在床上充电就上班去了，很可能是手机在充电过程中发生了爆炸，引发了火灾。,
99,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,严师傅在工地卧室给一个干电池充电，不料电池突发起火炸裂，火苗扑上来烧伤他的腿部。,
100,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,张大鹏（消费者）正在用苹果原厂的线给手机充电，发现有刺鼻味道之后，看到手机裂了一条小缝，张大鹏下意识的将手机打到了地下，发现手机已经胀裂，不光关了机，连里头的手机卡也都被烫坏了。揭开被烫坏的手机壳，张大鹏发现了发热的地方——手机电池！,
101,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,"杨艳平告诉记者，着火时间发生在3月5日的中午，当时就他一个人在家。杨艳平：“12点才把手机充上电，我去东屋做了做饭回来，屋里着火了。家里有水泵，我赶紧开开水泵就冲，冲灭了半个小时的时间把屋子里就熏的成了这了。”",
102,电子及信息技术产品,手机,三星,三星Galaxy S7 edge,三星,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,青岛市的刘女士(化名)又遭遇了三星手机爆炸事件，2018年3月8日，刘女士的三星Galaxy S7 edge手机在使用过程中自动关机，随后冒烟并爆炸。,
103,电子及信息技术产品,手机,金立,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,新文化讯（记者 陆璇） 23日，长春知名博主“长春西门大官人”发布微博，称22日晚有网友父亲的金立手机在充电时，竟发生自燃，手机刚刚买了一年零三个月，联系销售点让找厂家。目前，此事正在协商中。,
104,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,3月29日凌晨3点左右，遂宁的一位蒋先生半夜睡得迷迷糊糊时突然听到噼里啪啦的声音，醒来后蒋先生发现空气中弥漫着刺鼻的烟味，连忙开灯发现是放在卧室充电的手机烧起来了，床铺上被褥都被烧焦一大片。他连忙起身接水将明火扑灭，还好及时处理，才避免了一场灾难。,
105,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,昨天凌晨，常熟一户村民家的卧室被烧毁，庆幸的是人及时逃了出来，没有受伤。据说引发火灾的“罪魁祸首”是一部正在充电的手机。,
106,电子及信息技术产品,手机,小米,小米4C,小米,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,两年前，小陈的女友在网上买了一部小米4C手机，花了一千四百多，小陈说，4月25号中午，手机在他口袋里突然爆炸了。,
107,电子及信息技术产品,手机,苹果,iPhone Ⅹ,苹果,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,市民刘女士说，刚买来3个月的iPhone Ⅹ在充电时，突然自燃冒烟，手机左边框开裂变形，屏幕的上半部分也烧成了金黄色。经过一个多月的返厂维修，苹果公司给出的答复却是，手机由于外部热力或热源导致冒烟，无法进行保修和赔偿。,
108,电子及信息技术产品,手机,苹果,iPhone 7,苹果,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,"苹果7手机自燃,火焰从手机中蹿出,手机壳也裂开了。",
109,电子及信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,西部网讯（陕西广播电视台《都市快报午间版》记者 马琼）家住在西安北郊的史爷爷，在前两天给刚买不久的手机充电时，竟然发生了爆炸。,
110,电子及信息技术产品,手机充电器,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,长沙晚报1月23日讯 21日下午5时40分左右，雨花区长房南屏锦源小区保安唐江华和刘向峰在巡逻时，发现12栋6楼一房间内冒出火光。二人迅速携带灭火器上楼进行灭火，及时帮业主减少损失，所幸事故未造成人员伤亡。记者了解到，火灾事故是由卧室内一个未及时拔下的充电器引起。,
111,家具及建筑装饰装修材料,塑料凳,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,肢体卡伤,,男孩右手食指插在塑料板凳的小孔中被牢牢卡住，手指已经有些肿胀。,
112,儿童用品,儿童车,无,无,无,8岁～14岁,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,制动装置,摔伤,,李女士说，几天前她儿子在小区里骑儿童三轮车，因为速度太快，拐弯时没控制好，一下摔倒了，她儿子的脸上、胳膊和腿都磕破了，吓得她再也不敢让儿子玩了。,
113,儿童用品,儿童服装,无,无,无,37个月～96个月,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,阻燃性,烧伤,,南宁六岁的小女孩熙熙，被大火严重烧伤，全身烧伤面积达到40%。熙熙之所以被烧得那么严重，很可能与当时熙熙所穿的化纤面料公主裙有关。,
114,儿童用品,玩具（玻璃珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,据记者了解，小张误吞玻璃弹珠已经一月有余，由于种种原因一直没有得到治疗。当小张来到医院时，医生检查发现，他吞入的玻璃弹珠卡在升结肠部,
115,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,3月2日晚上10点左右，山东大学第二医院急诊科接到了一名特殊的小病人，16个月大的女婴奇奇（化名）出现腹痛腹胀、恶心呕吐以及肠梗阻等症状,
116,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,"最近中山市人民医院接诊了一位特殊的小患者，只有一岁多大肚子里竟然发现有七块小磁铁，还因此进了儿科ICU！",
117,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,春节期间，市儿童医院接诊了两名误吞异物的患儿。,
118,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,3月10日，术后的7岁的男童在医护人员的悉心照料下身体恢复的不错。10天前，孩子由于误食玩具磁铁珠在山西省儿童医院妇幼保健院实施了消化道异物取出手术,
119,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,鼻孔堵塞,,女孩鼻孔里取出两个圆柱体磁铁长，　一点五厘米，磁力很强,
120,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,1月31日晚，中山市博爱医院小儿消化科接诊了一位1岁的小宝宝。1天前家长发现小宝宝在玩磁铁，之后一整天哭闹不停。家长连忙到镇区医院就诊，X光检查提示腹内有金属物件，孩子立即被送至市博爱医院急救。,
121,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,一名家长急匆匆赶到市中医院急诊科，说10岁的儿子小昊把4颗钢珠和一块磁铁给吞进了肚子里,
122,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,深圳市儿童医院收治了一名反复呕吐的孩子，经过检查发现，孩子因误食5颗磁珠造成肠穿孔，经手术抢救孩子终于脱离危险。,
123,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,　一名3岁男童，肚子痛得在床上打滚。送到医院一查，发现他的肚子里有一串珠子。,
124,儿童用品,玩具车,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,电气危害,财产损失,,3月1日，记者证实，此事发生于2月25日，乐山中心城小区里一个电动玩具车自燃。,
125,儿童用品,玩具（弓弩）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,扎伤,,邓州市3岁的小雨（化名）和哥哥在家玩耍。他哥哥在玩一种儿童弓弩时，不小心射伤小雨的左眼，小雨的眼睛顿时血流不止。市眼科医院检查后，诊断小雨为左眼角膜穿通伤，为其进行了手术。,
126,儿童用品,玩具（激光玩具）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,辐射危害,热辐射危害,激光辐射,视力受损,,同学之间开玩笑，小王被用激光玩具照了眼睛，导致其右眼黄斑部损伤，意味着右眼视力很难恢复。,
127,儿童用品,玩具（魔法棒）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,呼吸道阻塞,,9个月大男婴把魔法棒里面的小灯泡连着两根金属丝吞了下去，异物卡在气管里，孩子呼吸急促、咳嗽不止，孩子妈妈接到老人的电话后15分钟内把孩子送到医院抢救，手术后把小灯泡取出。,
128,儿童用品,玩具（水宝宝）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,10月9日淮安市淮阴区一名1岁男童小军（化名）出现腹胀、呕吐等现象，待家人在孩子误食“水宝宝”两天后送至淮安市妇幼保健院就诊时，小军不但出现急性机械性肠梗阻，而且已因脱水而失去知觉，好在医护人员经过1个小时左右的手术，8日晚，医生从其体内顺利取出一枚已膨胀如乒乓球大小的“水宝宝”。,
129,儿童用品,玩具（水晶泥）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,硼及其化合物,中毒,,江苏宿迁一名12岁的小学生误食“硼砂”中毒，肚子疼、呕吐。,
130,儿童用品,玩具（水晶泥）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,硼及其化合物,中毒,,广州市民杨女士的一对儿女买硼砂水做水晶泥后，因误用了装过硼砂水的杯子，出现严重呕吐等身体不适现象。,
131,儿童用品,玩具（水晶泥）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,硼及其化合物,中毒,,宜昌一名10岁男孩因好奇“水晶泥”到底有没有毒，竟然吞服少量“水晶泥”，及时救治才得以脱险。,
132,儿童用品,玩具（水晶泥）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,硼及其化合物,中毒,,在牡丹区东关小学接孩子的刘女士说，她儿子天天玩，但是没几天就出现手蜕皮的情况，于是她就将“水晶泥”收了起来，过了几天孩子的手就恢复了。,
133,儿童用品,玩具（水晶泥）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,硼及其化合物,中毒,,有的家长反映，接触过这类物品的孩子中有的出现过皮肤红疹、恶心眩晕等症状,
134,儿童用品,玩具（水晶泥）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,硼及其化合物,中毒,,女儿在博爱县秀珠小学门口的一家文具店买的手工“水晶泥”是“三无”产品。其中，一种原料硼砂被两岁多的侄女误服，竟住进了儿童重症监护室。,
135,儿童用品,玩具（水晶泥）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,硼及其化合物,中毒,,3月30日晚7时，家住市区解放路附近的小华（化名）突然呕吐，此时他手里正捏着一团“水晶泥”。医生检查后确定，正是三无“水晶泥”惹的祸。,
136,儿童用品,玩具车,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,扎伤,,广州一名3岁的小朋友在玩玩具遥控车时，不慎被天线扎伤眼睛。,
137,儿童用品,玩具车,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,颅骨穿透,,长城网3月14日讯(记者 刘昆鹏 崔梦琳)近日，解放军白求恩国际和平医院接诊了一名两岁患儿。经头颅CT检查显示：患儿左侧耳后颅骨，有金属异物贯穿进入颅内，未见明确颅内血肿形成。,
138,儿童用品,玩具枪,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,正确的使用方式,爆炸危害,固相爆炸危害,固体爆炸性物质,烧伤,,近日，记者从蓬溪县工质局了解到，大石镇陈女士来到大石工质所投诉，其女儿在学校外玩具店购买了一支玩具火药枪，在玩耍过程中因其燃烧引起手部烧伤,
139,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,骨折,,好奇“洗衣机怎样洗衣服”，6岁男孩揭盖研究，结果被高速旋转的衣服缠住，胳膊被“扭断”。,
140,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,受困,,前两天渭南一名11岁的孩子趁着奶奶出门家里没人，竟然钻到洗衣机里玩耍。钻进去容易想上来却难，等家长发现时，孩子已经被困洗衣机长达1个多小时。,
141,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,受困,,3月26日晚7时许，山东临沂莒南某小区一4岁左右小女孩卡在双缸洗衣机里的甩干桶里。,
142,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,受困,,家住舟山市嵊泗县的3岁小女孩和小伙伴在玩捉迷藏时陷入洗衣机的脱水桶内，由于极度惊吓和恐慌，被卡在了里面，小女孩哭声嚎嚎，家长发现后立即报警。,
143,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,受困,,26日14点15分，淄博市周村区一小孩被困在了洗衣机里，淄博市公安消防支队丝绸路中队接到报警后立刻赶赴现场。,
144,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,2018年2月2日，蚌埠一小区住户家中洗衣机突然着火，冒出滚滚浓烟。于是立即有人报警，当消防员到达现场后发现，洗衣机已经被烧成了空壳子，而通往洗衣机人水管被烧断，正在对着洗衣机不停喷水“灭火”，火已被洗衣机自己扑灭了。,
145,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,居民楼六楼起火 疑似洗衣机故障导致,
146,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,财产损失,,24日，塔娜发现原来昨晚的爆裂声出自家里的全自动滚筒洗衣机，洗衣机的玻璃门已经全部爆裂。,
147,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,受困,,5月16日上午10点33分左右，江苏省宿迁市泗洪县119指挥中心接到求助称：泗洪县水产城一商铺里有小孩被卡在洗衣机内,
148,家用电器及电器附件,消毒柜,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,城北李先生打进华商报新闻热线称，家中使用4年多的老板牌消毒柜起火，将正在消毒的木制擀面杖烧焦,
149,儿童用品,校服,无,无,无,不限年龄段,男女均可使用,是,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,肢体卡伤,,杭州一7岁男童上课时想学电视上的“魔术表演”，将绳子的结突然抽掉。于是解开校服裤腰绳带尝试起来，还将左手小指伸进了结成的环圈里，用力拉扯，结果一个小手指被勒断了。,
150,电子及信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,2月28日晚上21时20分，位于苏州市姑苏区竹辉路一电动车店发生火灾。询问店主得知，起火原因为店内充电宝爆炸引发的大火。,
151,电子及信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,青岛的刘先生反映，他购买的小米充电宝在1月31日当天接连发生了两次爆炸，并引起小范围起火。,
152,电子及信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,17日晚，我们陆续接到不少顺德上华村的街坊报料称：他们那边有个工地突然起火，工人说是有一个工友使用劣质移动电源充电的时候引起的火灾。,
