序号,产品类别,产品名称,品牌,产品规格/型号,生产厂家,使用对象年龄,使用对象性别,使用时是否有成人看护,是否有成人对其进行安全教育,是否能够认识到产品存在危害,第一次使用该产品或类似产品,使用环境,使用方式,产品存在的一级危害因素,产品存在的二级危害因素,产品存在的三级危害因素,导致的伤害,伤害事件发生的时间,备注（事件概述）,事件链接
312,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,南阳方城县博望镇一名两岁男童独自钻进洗衣机的脱水桶，结果被卡住无法出来。,
313,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,内蒙古一住宅楼下的电动车突然起火，9辆电动车被烧毁，住宅楼外墙也被损坏。,
314,文教体育用品,电动平衡车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,10月16日下午，合肥市高新区某小区内的一户业主准备出门时，房间里正在充电的平衡车冒出浓烟，突然起火。,
315,文教体育用品,跑步机,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,高温表面,烫伤、划伤,,2岁女童不小心摔倒在跑步机旁，小指正好碰到跑步机皮带的边缘，瞬时就蹭去了一层表皮，整个手指肿胀起来。,
316,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,福州两岁男童在玩耍时，头卡在洗衣机滚筒里出不来。,
317,家具及建筑装饰装修材料,玻璃窗,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,广州天河区一高层住户落地玻璃窗爆裂，有掉落危险。,
318,家用电器及电器附件,浴霸,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,安徽一户人家准备洗澡，因气温有些低，便打开了浴霸，却不料，浴霸发生爆炸并引发火灾。,
319,家用电器及电器附件,卡式炉,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,爆炸危害,气相爆炸危害,爆炸性气体,烧伤、烫伤,,西安市民在烤肉店吃饭时，卡式炉发生爆炸，一家三口受伤。,
320,文教体育用品,跑步机,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,高温表面,烫伤、划伤,,近日，厦门市一名4岁男童小颖(化名)，因不慎摔倒，手部触碰到正在运行的跑步机跑带，导致其被跑带烧伤。,
321,文教体育用品,笔帽,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,气管阻塞,,3岁男童含笔帽玩耍时，误将笔帽吞下气管致气管堵塞。,
322,家具及建筑装饰装修材料,淋浴房玻璃,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,割伤或骨折,,江苏一周内4起淋浴房玻璃自爆，有的居民被玻璃割伤，有的居民摔倒致手臂骨折。,
323,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,西安一名7岁男童误吞了14颗磁力珠玩具，因为磁力的吸附作用，造成了两段肠道肠穿孔，中间肠道的肠压迫导致肠梗阻。,
324,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,西安交通大学一男生宿舍突然出现火情，据现场一名学生介绍称是该宿舍楼二楼的一名学生为电瓶车充电引起。,
325,儿童用品,玩具枪,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,5岁男童好奇贪玩，手指卡进玩具枪内无法取下，手指已经肿胀并伴有强烈疼痛，如果不及时摘除可能会因血液不循环导致手指内部组织坏死。,
326,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,洗衣机在使用中，火苗从洗衣机内部烧起，洗澡间被烧毁。,
327,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,上海一小区内发生火灾，造成小区内多辆非机动车被烧毁，居民推测火灾可能是电瓶车充电引起的。,
328,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,鹤壁小区一辆电动自行车私拉电线在楼道口充电时着火了。,
329,家用电器及电器附件,燃气灶,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,燃气灶使用2年后，玻璃台面突然发生炸裂，玻璃碎渣散落一地。,
330,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,绍兴一小区居民把电动自行车放家里充电，把充电器拔掉后20分钟，车子突然自燃。,
331,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,2岁女童爬进洗衣机甩干桶，被卡在里面无法动弹。,
332,家用电器及电器附件,燃气热水器,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,爆炸危害,气相爆炸危害,爆炸性气体,烧伤,,南宁一9岁男孩在洗澡时，浴室里的热水器突然发生爆燃，导致其全身大面积烧伤。,
333,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,"济南市凤凰国际小区北区发生了一起火灾,原因是电动车在室内充电的时候起火。",
334,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,此次火灾事故原因是由于户主私拉乱接电线，违规给电动自行车充电引起火灾。,
335,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,福建一名3岁女童误吞了29颗磁力珠，出现腹部不适、食欲不振等症状。,
336,儿童用品,玩具（水宝宝）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,肠梗阻,,1岁女婴误吞水宝宝导致肠梗阻。,
337,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,死亡,,铁岭市某小区居民楼楼道里，疑似电动车充电时起火爆炸，导致正巧经过旁边的一对母子受伤，并相继死亡。,
338,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,宁波一2岁幼童因为误吞５颗磁力珠致肠穿孔。,
339,家用电器及电器附件,燃气灶,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,燃气灶表面的钢化玻璃面板突然开裂，一些玻 璃碎渣炸出一米多远。,
340,日用杂品,手机钢化膜,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,玻璃应力,割伤,,手机钢化膜碎裂把手指割伤,
341,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,美的洗衣机在没有使用的情况下自爆自燃。,
342,家用电器及电器附件,破壁机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,美的一款破壁机在使用时冒黑烟豆浆四溅。,
343,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,杭州一小区因电动自行车充电引发火灾。,
344,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,从楼上扯电线给电动车充电引发电动车自燃。,
345,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,海口一学生骑着电动车去上学，车辆途中突然自燃。,
346,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,楼道里的两轮电动车着火，有两位伤者被送往医院，一位不治身亡。,
347,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,福州3岁男童误吞5颗磁力珠致胃肠穿孔。,
348,家用电器及电器附件,浴霸,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,浴霸长时间供热造成线路融化自燃，引发起火。,
349,家具及建筑装饰装修材料,紫外线灯,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,紫外线辐射,灼伤,,天津市滨海新区大港英语实验小学在早晨打开教室紫外线消毒灯后忘记关闭，致使全班学生被紫外线灯照射9小时，眼睛和面部、颈部严重灼伤。,
350,儿童用品,玩具枪,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,高温表面,烧伤,,小女孩自己衣袋里装了玩具火枪由于温度过高发生自燃，导致女孩轻度烧伤。,
351,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,武汉市江岸区后湖南路惠康居发生火情，疑因一电动车充电自燃，殃及车棚内30余辆车。,
352,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,骑着电动车在路上行驶，可是车子却突然起火，短短几分钟就烧得只剩下一个铁架子。,
353,家用电器及电器附件,暖风机,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,暖风机引燃了房间的地毯，引起火灾。,
354,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,炸伤,,正在充电的电动车电瓶发生爆炸，造成一男子面部受伤，眼睛险些失明。,
355,日用杂品,热水袋,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,烫伤,,沈阳一女生把热水袋放到腿上取暖，热水袋突然爆裂，致其大腿被烫伤。,
356,家用电器及电器附件,油烟机,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,济南一住户家中抽油烟机的玻璃面板发生了爆裂。,
357,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,割伤,,桂林一酒店固定在墙面的玻璃门突然脱落并炸裂，导致母女两人全身上下多处被割伤。,
358,日用杂品,纽扣电池,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,一名3岁孩子误吞一粒纽扣电池，导致胃粘膜损伤，若不能及时取出，可能会造成胃穿孔。,
359,日用杂品,暖宝宝,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,高/低温物质危害,低温物质危害,低温表面,烫伤,,武汉市民胡阿姨腰部贴暖宝宝取暖，致皮肤烫伤，伤口如乒乓球大小的洞。,
360,日用杂品,按摩椅,无,无,无,14～60岁,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,死亡,,柳州一男子在前一天晚上喝过酒，疑因呕吐物造成按摩椅漏电，导致其触电身亡。,
361,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,家住海口国贸博立大厦的一位老人，把电动车电池拆下后拿到家中充电时引发火灾。,
362,家用电器及电器附件,电热毯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,汉中市区地旺熙苑小区一居民在睡梦中发现电褥子起火，本想开窗“排烟”，没想到火势越来越大，烧了整间房子。,
363,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,一辆电瓶车在行驶途中发生自燃，被烧成一堆废铁。,
364,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,3岁小孩在洗衣机里玩，被卡洗衣机滚筒。,
365,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,财产损失,,冰箱线路短路导致店面大火。,
366,家用电器及电器附件,燃气热水器,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,其他,其他,一氧化碳,死亡,,疑燃气热水器导致一对夫妇一氧化碳中毒死亡。,
367,电子及信息技术产品,充电宝,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,地铁昌平线一乘客的充电宝爆裂，并在车厢内升起白烟。,
368,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,合肥一小区一辆电动车在楼下充电时突然起火。,
369,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,漯河一小区楼道内一辆电动车因充电引发火灾，随后引燃了其余电动车。,
370,家具及建筑装饰装修材料,紫外线灯,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,紫外线辐射,灼伤,,太原市双星幼儿园发生老师误开紫外线灯照射事件，致使30余名幼儿皮肤出现损伤红肿蜕皮情况，视力出现普遍下降。,
371,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,海淀区一高层写字楼15层的一台空调外挂机自燃引发火灾。,
372,电子及信息技术产品,手机充电器,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,重庆一小区住户家中突发火灾，火灾是由一个插在插座上的手机充电器自燃引发的。,
373,儿童用品,儿童车,无,无,无,8岁～14岁,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,戳伤,,8岁的女孩玲玲（化名）在骑行滑板剪刀车时，不慎出了意外，车把手捅破她的面颊，差五六毫米就穿透到口腔里。,
374,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,上海普陀区桃浦路上一家酒店式公寓发生火灾。起火的是酒店11层一家住户的空调外机。,
375,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,两岁男童误吞8颗磁力珠，险造成胃肠道穿孔或肠梗阻。,
376,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,重庆一门店主要销售电动车，关店下班后电动车蓄电池还在充电，锂电池爆炸引发了火灾，店内电动车、汽车配件等被烧。,
377,电子及信息技术产品,平板电脑,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,刚买21天的新款iPad，开机后放在包内，突然冒烟随后冒出火光。,
378,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,临汾鼓楼南一名2岁男童误吞6颗强磁钢珠致肠穿孔。,
379,家用电器及电器附件,电暖器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,永济市城北荣达路桥公司南侧一间办公宿舍因电暖器自燃发生火灾。,
380,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,扬州一小区车库内一辆电动自行车充电引发火灾。,
381,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,屏街道锦山明珠小区发生一起电动自行车自燃火灾。,
382,儿童用品,塑料玩具,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,窒息,,大连一2岁半男童在玩耍时，误吞了一个塑料玩具土豆，被卡窒息。,
383,日用杂品,热水袋、暖宝宝,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,高温表面,烫伤或低温烫伤,,入冬以来仅贵钢医院（贵阳烧伤医院）就收治了十多位被暖宝宝、热水袋烫伤的伤者。一名三十岁左右的方姓男子被爆炸的热水袋烫得“皮开肉绽”。一个6岁女孩熟睡后被热水袋“粘”在皮肤上造成低温烫伤。一位老人在腹部贴暖宝宝取暖导致腹部皮肤起水泡、脱皮、溃烂。,
384,家用电器及电器附件,电压力锅,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,烫伤,,电压力锅煮粥，粥煮熟的时候，压力锅却怎么也打不开。随后压力锅爆开，粥水四溅，二人被烫伤。,
385,家用电器及电器附件,充电手电筒,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,财产损失,,手电筒在沙发充电时间过长发生短路，引燃了沙发发生火灾。,
386,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,北京市东城区广渠家园一辆停放在楼道内的电动车起火，无人员伤亡。,
387,家用电器及电器附件,壁挂炉,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,线路存在异常从而导致壁挂炉起火。,
388,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,电冰箱起火并有大量浓烟。,
389,家用电器及电器附件,插线板,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,住户打开电热毯后离开，插线板起火引发火灾，一人受伤。,
390,家用电器及电器附件,电暖器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,合肥市安居苑西村小区一住户家中发生火灾，火灾可能是由放在阳台上的烘鞋器造成的，一位老人在火灾中不幸遇难。,
391,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,住户将电动车电瓶放于室内充电，不料电瓶发生爆炸，迅速引燃家中沙发等易燃物品。,
392,家用电器及电器附件,燃气灶,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,芜湖市民用燃气灶烧开水时，燃气灶的玻璃钢面板发生爆炸。,
393,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,铜陵一出租房起火，房内结构复杂，被分成多个隔间，一隔间内挂式空调被烧毁掉落在地，疑空调自燃引起火灾。,
394,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,扬州一小区附近一宿舍边突然冒出滚滚浓烟，原因是一辆电动车充电时起火。,
395,家用电器及电器附件,燃气热水器,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,一氧化碳,中毒,,江西吉安的肖女士使用燃气热水器洗澡时，由于发生了轻微的燃气泄漏，导致一氧化碳中毒。,
396,家用电器及电器附件,电热毯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,长沙一小区住户家中发生火灾，原因是给宠物用的电热毯起火造成的。,
397,家用电器及电器附件,电暖器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,柳州一小区住户使用电取暖器取暖时引发火灾。,
398,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,电瓶车在行驶中突然冒烟起火。,
399,交通用具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,死亡,,2018年4月1日1时23分，北京市119指挥中心接到报警，海淀区中关村北大街水磨西社区一电动车商店发生火灾，过火面积50平方米，事故造成4人死亡（其中两名儿童）。,