序号,产品类别,产品名称,品牌,产品规格/型号,生产厂家,使用对象年龄,使用对象性别,使用时是否有成人看护,是否有成人对其进行安全教育,是否能够认识到产品存在危害,第一次使用该产品或类似产品,使用环境,使用方式,爆炸危害,产品存在的二级危害因素,产品存在的三级危害因素,导致的伤害,伤害事件发生的时间,备注（事件概述）,事件链接
200,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,胶州一辆正在行驶的电动车突然起火，幸被附近的宝龙物业的工作人员持灭火器赶到将火扑灭,
201,文教体育用品,电动跑步机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,卡伤,,南京一7岁男童钻进跑步机底盘捡玩具，头被跑步机底盘死死卡住，动弹不得。,
202,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,西安北二环附近南康新村村口，一辆车棚内的电动车在充电时起火，引燃了车棚内其他车辆，导致30多辆电动车被烧毁。,
203,家具及建筑装饰装修材料,电动卷帘门,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,死亡,,宜宾一房产中介早上开门时疑因卷帘门漏电，男子被电身亡。,
204,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,烧伤,,深圳市宝安区一名外卖送餐员口袋里的充电宝突然发生爆炸。发生爆炸的充电宝系其花了一百多块钱在网上购买，刚用没几天就发生爆炸。,
205,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,济南一小区一辆电动车充电时起火，并引燃旁边的另一辆电动车。,
206,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,淄博道庄小区一户居民家中冰箱突然爆炸轰隆巨响，震碎了窗玻璃。,
207,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,顺德区乐从镇市民何先生半夜睡梦中突然感觉一身滚烫，以为空调故障的他睁眼一看，发现床铺竟然着火了而起火原因，竟是因为放在床上充电的手机所致。,
208,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,哈尔滨道里区一小区发生火灾，原因为电瓶充电中突然爆炸起火。,
209,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,合肥某小区14楼一住户家中的空调外机窜出明火，随后大量浓烟弥漫开来。,
210,儿童用品,减压玩具,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,中毒,,郑州市民杨女士一岁半的小儿子，不慎将其哥哥的减压玩具咬破，导致里边的液体流到身上后，皮肤便开始出现“红斑”。,
211,日用杂品,纽扣电池,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,食道阻塞,,江苏一名一岁幼儿误吞一粒纽扣电池，卡在喉咙。,
212,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,丰台区一小区居民将电动车蓄电池拿回家充电过程中，发生爆炸燃烧事故。原因系电动车不符合国家标准，但居民怕麻烦，“懒”用小区公共充电桩充电。,
213,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,阜阳一小区发生火灾，可能为楼上住户“飞线”到一楼给电动车充电，由于电线线路故障导致电动车起火。,
214,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,电气爆炸,漏电,财产损失,,大庆萨尔图区花样年华小区一住户家中发生火灾，疑似是家中洗衣机爆炸引起的。,
215,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,龙华区白石龙二区44号附近一停放电动车、自行车处发生火情，现场多辆电动车燃起大火。事发后消防队员第一时间赶到将火势扑灭。事故造成20多辆电动车、2辆汽车不同程度受损，无人员伤亡。,
216,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,驻马店一小区发生火灾，3辆停在楼下的电动车被烧得只剩下骨架。可能是一辆电动车飞线充电后起火，然后引燃了紧挨着的另外两辆电动车。,
217,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,成都某小区内一女童贪玩卡在了滚筒洗衣机里。,
218,信息技术产品,手机,Iphone,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,微博用户控诉苹果手机充电时自燃，导致房间被烧毁。,
219,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,高湿环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,划伤,,桂林一中考生小辉（化名）洗完澡后拉开浴室门，玻璃门突然炸裂，玻璃碴划伤了小辉的耳后、头部、手臂等部位。,
220,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,太原一住户家中的冰箱起火燃烧，并引燃了上方的空调，导致火灾。,
221,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,兴宁有一市民的电动单车起火了，烧得只剩下车架子了。,
222,信息技术产品,手机,三星GALAXY盖乐,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,网友在微博爆料，称其在京东自营店购买的三星GALAXY盖乐世 S10刚用了一天就不能充电、冒烟炸裂。,
223,家用电器及电器附件,抽油烟机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,淄博市一快餐店厨房失火，失火原因可能为吸油烟机线路故障。,
224,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,一名女童在玩捉迷藏游戏时，躲进了洗衣机，不慎卡住了双腿无法脱身。,
225,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,济南一小区居民楼下电动车充电故障引起火灾，多辆电动车被烧毁只剩下铁架,
226,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,南京市民将电动车的锂电池放在家中充电，电池凌晨突然发生爆炸。,
227,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,高湿环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,划伤,,一男子在早上洗完澡后，正准备从洗手间出来，洗手间的玻璃门碎了，直接倒了下来，玻璃将其手臂和头部划伤。,
228,家具及建筑装饰装修材料,景观灯,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,死亡,,山西一女孩两次入景观池中玩耍，突然栽倒入池因触电当场身亡。,
229,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,网友投诉充电宝放在背包里突然爆炸。,
230,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,网购充电宝第一次充电时就发生了爆炸。,
231,日用杂品,纽扣电池,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,南昌1岁男童误吞一粒纽扣电池，卡在食道。,
232,儿童用品,童车,无,无,无,37个月～96个月,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,2岁男童骑玩具车时，右脚不慎伸进前叉和车轮之间被卡住。,
233,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,过热,财产损失,,河北师范大学一宿舍发生火情，现场浓烟滚滚，初步认定为空调故障引起。,
234,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,沙溪镇豪兴路一家店铺发生电动自行车自燃火灾。店内墙壁被熏得漆黑一片，电器、家具、货物被烧毁。估计火灾造成直接经济损失30万元。,
235,信息技术产品,激光笔,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,视力受损,,家中停电，女子误把激光笔当成手电筒，直视几秒后，短短数天时间右眼视力急剧下降。周女士到医院检查右眼黄斑已经受损，且伤害不可逆。,
236,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,放在床上充电的充电宝发生爆燃并引起火灾。,
237,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,哈尔滨一小区发生火灾，怀疑可能是维修店给电动自行车电瓶充电引发。,
238,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,杭州新塘家园东区地下一楼电动车起火，烧掉了许多辆。,
239,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,普宁一小区住户家中发生火灾，原因疑因天气炎热，空调外机运作超负荷导致发热起火。,
240,家用电器及电器附件,电视,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,衡水一小区住户正在看电视，电视突然黑屏，并冒烟起火。,
241,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,淄博一名1岁8个月的男童因为好奇，误吞下了10颗磁力珠导致4处肠穿孔。,
242,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,南宁市秀厢大道华宇绿园小区一楼道内，发生一起电动车燃烧事故。有知情人透露，事发当天该单元楼有一名业主私自将电动自行车推上楼，在楼道里充电，结果电瓶发生爆炸。,
243,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,惠安一家店铺中正在充电的电动车起火引发火灾。,
244,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,郑州紫荆山路一栋高层建筑疑因空调外机起火引发火灾。,
245,儿童用品,玩具枪,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,机械危害,动能危害,飞行物体撞击,射伤,,11岁的小易和小伙伴在玩“警察抓小偷”的游戏时，拿着能打塑料子弹的玩具枪对射。小易左眼被一颗塑料子弹击中，眼睛流出鲜血。,
246,家用电器及电器附件,燃气灶,无,无,无,14～60岁,男女均可使用,否,是,是,否,高温环境,可合理预见的误使用,机械危害,形状和表面性能危害,锐利边缘,财产损失,,西安一市民正在做饭时，燃气灶玻璃面板突然炸裂发出巨响。,
247,儿童用品,玩具车,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,医院一位员工在房间给孩子玩具车充电引发火灾。,
248,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,晋城市一小区居民私拉线路给电动车充电，充电的过程中电动车起火并引燃周边可燃物，所幸火灾未造成人员伤亡。,
249,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,三明一小区住宅的空调外机起火。,
250,家用电器及电器附件,抽油烟机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,临沂一小区住户家中的油烟机的玻璃面板瞬间炸成碎渣。,
251,家用电器及电器附件,燃气热水器,无,无,无,14～60岁,男女均可使用,否,是,是,否,高温环境,可合理预见的误使用,电气危害,电气爆炸,过热,烧伤,,西安一女子在厨房打开热水准备洗手做饭时，热水器启用时发生了闪爆，该女子被重度烧伤。,
252,家用电器及电器附件,燃气热水器,德国贝尔,无,无,14～60岁,男女均可使用,否,是,是,否,高温环境,可合理预见的误使用,电气危害,电气爆炸,过热,财产损失,,西安市民家中“德国贝尔”电热水器发生爆炸，热水器箱盖掉在地上，热水器对面窗户双层玻璃被震碎。,
253,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,普陀区石泉路岚皋路上一小区出租屋内发生火灾，造成两名租户受伤。起火原因疑似是该租户将电瓶带至家中充电，引发火灾。,
254,家用电器及电器附件,空调,志高,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,有网友爆料称，家里的志高空调自燃并且导致自家房屋着火，几个房间被烧，损失在30万以上。,
255,儿童用品,拼装玩具,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,鼻孔堵塞,,孩子在拼装玩具过程中，误将零件塞进鼻子中。,
256,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,南昌一小区楼道里突然冒出浓烟，消防人员及时赶到将火扑灭，失火处为电动自行车停放处。据居民反映，因楼道口电动车充电才引发了此次事故。,
257,家用电器及电器附件,电吹风,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,电击伤,,宁波市民使用酒店配备的吹风机吹干头发时，手部被点击受伤。,
258,家用电器及电器附件,抽油烟机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,南宁市新际路中海御湖熙岸小区业主陈先生下夜班回家时，发现自家厨房吸油烟机玻璃面板爆裂，碎玻璃撒了一地。,
259,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,毫州一名4岁男孩身体被死死卡在双缸洗衣机里的甩干桶里。,
260,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,中牟一名8岁男童突然出现腹痛、呕吐的症状，医生检查发现在孩子体内有一串磁力珠，肠穿孔达8处之多。,
261,信息技术产品,无线耳机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,可合理预见的误使用,电气危害,电气爆照,过热,财产损失,,新买的蓝牙耳机左耳机没有声音，耳机充电孔发生漏液，并且耳机底部腐蚀，还有烧焦的痕迹。,
262,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,电瓶车行驶过程中尾部突然开始冒烟，随后整辆电瓶车起火。,
263,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,死亡,,威海市民在室外空调外机附近补老鼠洞时不慎触电身亡，初步鉴定为康佳空调外机漏电所致。,
264,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,温州一名1岁女童误吞了36颗磁力珠，造成2出肠穿孔。,
265,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,高湿环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,炸伤,,东莞一男子洗澡时准备关浴室玻璃门，一拉门把手整个玻璃门就爆了，该男子全身被玻璃炸伤了50多处。,
266,家用电器及电器附件,抽油烟机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,人在厨房洗碗，身后油烟机突然发出爆裂巨响，玻璃面板碎片飞溅一地。,
267,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,浦东新区某小区一居民楼外的空调外机起火，火势顺着外墙一路向上蔓延。,
268,信息技术产品,手机,小米MAX,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烫烧伤,,中国东方航空公司某员工微博发文称，其使用的小米MAX在口袋起火爆炸，金属水顺着腿往下流造成右腿严重烧伤。,
269,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,无锡一小区发生火灾，起火原因初步疑似为空调起火引发。,
270,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,佛山一名6岁男童误吞了11颗磁力珠，导致肠子腐蚀穿孔。,
271,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,秦皇岛市海港区南岭国际三区北侧底商发生爆炸，周边商铺及停放车辆不同程度受。经初步认定为空调压缩机故障引发爆炸。,
272,信息技术产品,手机,OPPO,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,OPPO手机在没有充电的情况下发生起火爆炸，屏幕以及手机外套被烧焦。床上的凉席也被烧坏，而且凉席下的水暖床垫，遇水后也被损坏。,
273,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,天津河西区澧新里小区一格力空调室外机着火。,
274,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烫烧伤,,广州市民邱先生报料称，自己前几天在工厂上班时遭遇了惊魂一幕——好端端放在裤袋里的手机，突然出现冒烟、发烫，导致自己的腿部出现多处被严重烫伤。,
275,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,浙江温州一名1岁10个月大的女童因连续高烧三天，且伴有呕吐、腹胀，在当地医院输液治疗后并未好转，后医院为其做了CT发现她的肚子里竟有一串“手链”一样的异物。,
276,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,长沙市天心区天鸿小区8楼1户民宅起火，客厅烧毁严重，据悉是因客厅空调引发。,
277,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,高湿环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,划伤,,13岁男孩在酒店洗澡时，淋浴房玻璃碎裂划伤其大腿。,
278,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,福州江滨路融侨小区，一辆行进中的电动车突然自燃。,
279,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,一楼门厅停放的电动车凌晨起火，引燃旁边停放的多辆电动车，所幸被及时发现，明火被扑灭，并未造成人员伤亡。,
280,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,常州一名三岁男孩吞下了哥哥的磁力珠，超强磁力的 22 颗磁力珠隔着胃肠在肚子里相互吸引成了一个圆环，将多处小肠紧紧地黏附在了一起了，不仅造成了肠梗阻，还将胃肠粘膜压成了筛子状的 6 处粘膜穿孔。,
281,家用电器及电器附件,豆浆机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,死亡,,面馆老板在操作间内准备早上营业。操作过程中，豆浆机漏电，该男子被打倒在地，送医后经抢救无效死亡。,
282,儿童用品,海洋球,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,致病微生物危害,原核细胞微生物危害,皮肤癣真菌,口腔疱疹,,3岁的小乐（化名）到海洋球池玩了一趟，竟高烧不退，长了满嘴疱疹。,
283,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,死亡,,在柳州市柳江区成团镇里湾村一村民家中，一名9岁的男孩倒在自家的冰箱旁，被人发现时已经没有意识。男孩的身体有烧焦的痕迹，怀疑他的死因为触电，导致他触电的有可能是家中的冰箱。,
284,儿童用品,乐高积木,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,食道阻塞,,珠海的一个小女孩吞下一块乐高积木的“小零件”，卡住女孩食道，女孩妈妈用嘴吸出后反而卡住自己气管。,
285,家具及建筑装饰装修材料,柜子,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,砸伤,,张馨予在微博发文说，自己拉抽屉时柜子突然倒下，妈妈为其挡柜子被砸中受伤。张馨予谴责家具设计不合理和安装的不安全。,
286,儿童用品,儿童游泳圈,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,溺水,,一名3岁男童在游泳馆浅水区玩耍时游泳圈前翻导致头被淹，失去意识后2分钟才被发现。经急救，男童恢复了呼吸。,
287,信息技术产品,充电宝,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,电气爆炸,短路,财产损失,,深圳地铁三号线停靠田贝站时，一名女子米色布包里装的充电宝突然冒烟，所幸事故未造成人员伤亡。,
288,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,杭州一外卖小哥骑电动自行车经过武林广场体育场路和延安路交叉的丁字路口时，电动自行车燃烧起火。,
289,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,柳州市谷埠街国际商城K1区9楼一临街房间空调突然起火，所幸消防人员及时赶到将火扑灭，没有造成人员伤亡。,
290,儿童用品,玩具枪,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,机械危害,形状和表面性能危害,小零件,鼻孔堵塞,,3岁女童误将水弹吸入鼻孔，导致鼻腔堵塞脸肿胀。,
291,文教体育用品,电动平衡车,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,机械危害,动能危害,移动状态撞击,摔伤,,山西宁武县一名小孩在马路上骑平衡车，突然向前摔倒又因碰到平衡车的感应器滑到路中间，两次险被车撞到。 ,
292,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,高湿环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,划伤,,11岁女童不小心脚下一滑，身体扑到了浴室的玻璃门上，玻璃门突然碎裂，飞溅的玻璃碎片划伤了孩子的左上肢、右上肢、左侧髋关节，流血不止，送到医院后被诊断为“右下肢、双上肢开放性损伤、肌腱断裂”。,
293,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,四川绵阳滨江路一小区6楼突发火灾，小区保安成功将火扑灭。火灾发生原因为卧室空调未断电。,
294,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,一电动车充电时起火，致11辆电动车被烧，现场多个充电桩不同程度损毁。,
295,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,手指绞断,,一名6岁男童玩耍时，不小心将洗衣机顶盖打开，此时洗衣机滚筒还未停稳，孩子伸手进洗衣机捞衣服时无名指被旋转的衣服缠绕后绞断。,
296,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,在洪山区南湖景虹花园小区一住户室外机突然起火，所幸火很快被消防员扑灭，但楼上多家住户的阳台被熏黑。,
297,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,6岁男孩吃进61个磁力球玩具，2天后因腹痛呕吐入院。,
